CMDLINE /usr/local/bin/python3 MemTest.py
MEM 18.863281 1631459697.7610
CHLD 0 7.519531 1631459697.7688
CHLD 1 24.781250 1631459697.7688
CHLD 2 23.968750 1631459697.7689
CHLD 3 23.546875 1631459697.7689
CHLD 4 23.519531 1631459697.7690
CHLD 5 25.644531 1631459697.7690
CHLD 6 24.863281 1631459697.7690
CHLD 7 25.671875 1631459697.7691
CHLD 8 25.773438 1631459697.7691
CHLD 9 24.878906 1631459697.7692
MEM 18.863281 1631459697.8700
CHLD 0 7.519531 1631459697.8775
CHLD 1 24.781250 1631459697.8776
CHLD 2 23.968750 1631459697.8776
CHLD 3 23.546875 1631459697.8776
CHLD 4 23.519531 1631459697.8777
CHLD 5 25.644531 1631459697.8777
CHLD 6 24.863281 1631459697.8778
CHLD 7 25.671875 1631459697.8778
CHLD 8 25.773438 1631459697.8778
CHLD 9 24.878906 1631459697.8779
MEM 18.863281 1631459697.9798
CHLD 0 7.519531 1631459697.9874
CHLD 1 24.781250 1631459697.9875
CHLD 2 23.968750 1631459697.9875
CHLD 3 23.546875 1631459697.9875
CHLD 4 23.519531 1631459697.9876
CHLD 5 25.644531 1631459697.9876
CHLD 6 24.863281 1631459697.9877
CHLD 7 25.671875 1631459697.9877
CHLD 8 25.773438 1631459697.9877
CHLD 9 24.878906 1631459697.9878
MEM 18.863281 1631459698.0901
CHLD 0 7.519531 1631459698.0977
CHLD 1 24.781250 1631459698.0977
CHLD 2 23.968750 1631459698.0977
CHLD 3 23.546875 1631459698.0978
CHLD 4 23.519531 1631459698.0978
CHLD 5 25.644531 1631459698.0979
CHLD 6 24.863281 1631459698.0979
CHLD 7 25.769531 1631459698.0979
CHLD 8 25.773438 1631459698.0980
CHLD 9 24.878906 1631459698.0980
MEM 18.863281 1631459698.2003
CHLD 0 7.519531 1631459698.2079
CHLD 1 24.781250 1631459698.2080
CHLD 2 23.968750 1631459698.2080
CHLD 3 23.546875 1631459698.2080
CHLD 4 23.519531 1631459698.2081
CHLD 5 25.746094 1631459698.2081
